manufacturer,erp_name,mapped_name
BMW,520D M SOPRT,520D
BMW,X5,X5
BMW,320D,320D
BMW,520D,520D
BMW,320D MODERN,320D
BMW,520D SPORTS PACKAGE,520D
BMW,520I,520I
BMW,523IAE60,523I
BMW,I3,I3
BMW,520IA,520I
BMW,730D SE AUTO,730D
BMW,X1D,X1
BMW,X5 X DRIVE 40E M SPORT AUTO,X5
BMW,740LE,740LE
BMW,520D M-SPORT,520D
BMW,I8,I8
BMW,740LI,740LI
BMW,X1,X1
BMW,X2,X2
BMW,X5 XDRIVE40E M SPORT,X5
BMW,ZAA-1Z00 I3,I3
BMW,X5 40E PLUG IN HYBRID,X5
BMW,X5 M-SPORT E DRIVE,X5
BMW,X1 SDRIVE 18I,X1
BMW,X5 40E,X5
BMW,530E M SPORT,530E
BMW,318I,318I
BMW,X1 ABA-JG15,X1
BMW,X5 X DRIVE 40E,X5
BMW,X3,X3
BMW,X DRIVE 320D M SPORT,320D
BMW,740LE M SPORT,740LE
BMW,DLA-7D20 740E,740E
BMW,18 i-S DRIVE (X2),X2
BMW,DBA YH15 X2,X2
BMW,I3 TERRA WORLD PACKAGE,I3
BMW,X1-PETROL,X1
BMW,320I,320I
BMW,X5 PLUG IN HYBRID,X5
BMW,530E SALOON,530E
BMW,740LE X DRIVE,740LE
BMW,523I,523I
BMW,X1 SDRIVE 181M SPORT AUTO,X1
BMW,520D M SPORT AUTO,520D
BMW,DBA-HS15X1,X1
BMW,X3D,X3
BMW,X1 S DRIVE18I,X1
BMW,530E M SPORT  AUTO,530E
BMW,X1 S DRIVE 181M SPORT,X1
BMW,X3 D,X3
BMW,X1 SDRIVE 181M,X1
BMW,730D,730D
BMW,X1 SDRIVE,X1
BMW,523I M SPORT AUTO,523I
BMW,X1 M SPORT,X1
BMW,X5 40EM SPORT,X5
BMW,740LE M SPORT AUTO,740LE
BMW,523I A,523I
BYD,ATTO 3 EXTENDED,ATTO 3 EXTENDED
BYD,ATTO 3 STANDARD,ATTO 3 STANDARD
BYD,ATTO 3 ADVANCED,ATTO 3 ADVANCED
BYD,ATTO 3 SUPERIOR,ATTO 3 SUPERIOR
BYD,SEALION 6 SUPERIOR,SEALION 6 SUPERIOR
BYD,SEALION 6 PREMIUM,SEALION 6 PREMIUM
BYD,DOLPHIN STD,DOLPHIN STD
BYD,DOLPHIN DYNAMIC 49,DOLPHIN DYNAMIC 49
BYD,DOLPHIN DYNAMIC 70,DOLPHIN DYNAMIC 70
BYD,DOLPHIN PREMIUM 99,DOLPHIN PREMIUM 99
BYD,DOLPHIN PREMIUM 150,DOLPHIN PREMIUM 150
BYD,M6 STANDARD CAPTAIN,M6 STANDARD CAPTAIN
BYD,M6 STANDARD,M6 STANDARD
BYD,M6 SUPERIOR CAPTAIN,M6 SUPERIOR CAPTAIN
BYD,M6 SUPERIOR,M6 SUPERIOR
BYD,SEAL DYNAMIC,SEAL DYNAMIC
BYD,SEAL PREMIUM,SEAL PREMIUM
BYD,SEAL PERFORMANCE,SEAL PERFORMANCE
BYD,SHARK PREMIUM,SHARK PREMIUM
BYD,SHARK,SHARK
DAIHATSU,MOVE,MOVE
DAIHATSU,TERIOS,TERIOS
DAIHATSU,CHARADE,CHARADE
DAIHATSU,MIRA,MIRA
DAIHATSU,MIRA E.S,MIRA
DAIHATSU,FC11-TERIOS,TERIOS
DAIHATSU,BOON XLS,BOON
DAIHATSU,DBA-LA600S TANTO,TANTO
DAIHATSU,COPEN ROBE,COPEN
DAIHATSU,MOVE CONTE,MOVE
DAIHATSU,TANTO,TANTO
DAIHATSU,DBA-LA350S  MIRA,MIRA
DAIHATSU,COPEN,COPEN
DAIHATSU,DBA-LA300S-MIRA E.S,MIRA
DAIHATSU,DBA-LA350S  MIRA ES,MIRA
DAIHATSU,DBA-LA150S/MOVE,MOVE
DAIHATSU,DBA-LA300S MIRA,MIRA
DAIHATSU,DBA-M300S BOON,BOON
DAIHATSU,CHARADE-G100RS,CHARADE
DAIHATSU,TERIOS PREMIUM,TERIOS
DAIHATSU,DBA-M700S BOON,BOON
HONDA,CITY,CITY
HONDA,CIVIC,CIVIC
HONDA,GRAND CIVIC,CIVIC
HONDA,CIVIC EK3,CIVIC
HONDA,HONDA CRV,CRV
HONDA,HONDA HRV,HRV
HONDA,CIVIC HYBRID,CIVIC
HONDA,INSIGHT HYBRID,INSIGHT
HONDA,HONDA ACTY,ACTY
HONDA,UA-ESI-CIVIC,CIVIC
HONDA,ACTY LORRY,ACTY
HONDA,INSIGHT,INSIGHT
HONDA,LA-GD8,FIT
HONDA,E-EG8,CIVIC
HONDA,GD-HA6,ACTY
HONDA,DBA-GD8,FIT
HONDA,CIVIC EXI,CIVIC
HONDA,DAA-ZE2,INSIGHT
HONDA,FD3,CIVIC
HONDA,CITY VTEC 4M,CITY
HONDA,DAA-GP1,FIT
HONDA,EG8 CIVIC,CIVIC
HONDA,GD-HH5,ACTY
HONDA,DBA-GD1 FIT,FIT
HONDA,DBA-FD1 CIVIC,CIVIC
HONDA,FIT HYBRID,FIT
HONDA,DAA-GP2 (FIT SHUTTLE),SHUTTLE
HONDA,FIT HYBRID (GP1),FIT
HONDA,GH-CF3-ACCORD,ACCORD
HONDA,FIT DBA-GE6,FIT
HONDA,DAA-GP3,FIT
HONDA,LA-GD1,FIT
HONDA,GBD-HH6,ACTY
HONDA,DAA-GP1 FIT,FIT
HONDA,V-HH4,ACTY
HONDA,DAA-GP4,FIT
HONDA,GBD-HH5,ACTY
HONDA,FREED,FREED
HONDA,DAA ZF1 -CRZ,CRZ
HONDA,DBA-GD6 FIT ARIA,FIT ARIA
HONDA,CITY VTEC 4A,CITY
HONDA,FIT ( SHUTTLE ),SHUTTLE
HONDA,DBA-GD9,FIT
HONDA,CIVIC EG7,CIVIC
HONDA,DAA-GP2,FIT
HONDA,CRX,CIVIC
HONDA,ACCORD EXI,ACCORD
HONDA,DAA-GP3-SPIKE,FREED
HONDA,FIT RS-HYBRID,FIT
HONDA,DAA-ZF2,CRZ
HONDA,DAA-GP5,FIT
HONDA,VEZEL RU3 Z,VEZEL
HONDA,DAA-ZE3,INSIGHT
HONDA,GF-EK2,CIVIC
HONDA,CITY 4M,CITY
HONDA,GF-GH3,HRV
HONDA,DAA-RU4 VEZEL,VEZEL
HONDA,DAA-ZE2-INSIGHT,INSIGHT
HONDA,DAA-GP5 - FIT S HYBRID,FIT
HONDA,V-HH3,ACTY
HONDA,VEZEL HYBRID X GRADE,VEZEL
HONDA,DAA-RU3,VEZEL
HONDA,DAA GP5 FIT - F,FIT
HONDA,CIVIC FERIO ES1,CIVIC
HONDA,DAA-GP5 FIT-L-PKG-HYBRID,FIT
HONDA,RU3,VEZEL
HONDA,VEZEL,VEZEL
HONDA,DAA-GP1 FIT SELECTION,FIT
HONDA,ARIA GD6,FIT
HONDA,DAA-GMA GRACE,GRACE
HONDA,LA-GD6,FIT
HONDA,GRACE,GRACE
HONDA,DAA-GM4,GRACE
HONDA,DAA-FD3,CIVIC
HONDA,V-HA3,ACTY
HONDA,DAA-GM4 GRACE,GRACE
HONDA,DAA GP5 - FIT,FIT
HONDA,GRACE EX,GRACE
HONDA,CRV RD2,CRV
HONDA,UE-HA6 ACTY,ACTY
HONDA,CIVIC VTI 4A,CIVIC
HONDA,FIT GP5,FIT
HONDA,FIT L GRADE,FIT
HONDA,DAA-GP7,SHUTTLE
HONDA,UE-HA7,ACTY
HONDA,E-CB1,ACCORD
HONDA,CUVUC-1300,CIVIC
HONDA,ODYSSEY AUTO,CIVIC
HONDA,DAA-GM3-GRACE,GRACE
HONDA,EF2,CIVIC
HONDA,AIRWAVE,AIRWAVE
HONDA,CIVIC AK,CIVIC
HONDA,CIVIC EX1,CIVIC
HONDA,EGA1 CITY,CITY
HONDA,DAA-CR6,ACCORD
HONDA,GD-HA7,ACTY
HONDA,VEZEL Z NAVI SP,VEZEL
HONDA,DAA-GP5 FIT L,FIT
HONDA,DAA-RU3 VEZEL RS,VEZEL
HONDA,VEZEL RS SENSING,VEZEL
HONDA,CITY AA,CITY
HONDA,EBD-HH5 ACTY,ACTY
HONDA,CRV-GF-RD1,CRV
HONDA,CRV AUTO,CRV
HONDA,VEZEL RS,VEZEL
HONDA,CIVIC FERIO,CIVIC
HONDA,CRV JEEP,CRV
HONDA,E-EF2,CIVIC
HONDA,GD-HH6,ACTY
HONDA,DBA-RE3,CRV
HONDA,BR-V,CRV
HONDA,DAA-ZF1,CRZ
HONDA,CIVIC SR VTEC CVT,CIVIC
HONDA,DBA-JF1,N BOX
HONDA,CIVIC EX VTEC CVT,CIVIC
HONDA,LA-RD5 JEEP,CRV
HONDA,DBA-JH N WGN,N WGN
HONDA,DBA-JF3 N BOX,N BOX
HONDA,FIT,FIT
HONDA,GF-EK3,CIVIC
HONDA,CIVIC SE TURBO,CIVIC
HONDA,CIVIC EX TURBO VTEC CVT,CIVIC
HONDA,STATION WAGON,N WGN
HONDA,N BOX,N BOX
HONDA,CIVIC EX TECH,CIVIC
HONDA,CRV VTI-L,CRV
HONDA,UA-ES1,CIVIC
HONDA,GF-RD2,CRV
HONDA,DBA-JH1,N WGN
HONDA,DBA-JH1,N WGN
HONDA,N-BOX CUSTOM,N BOX
HONDA,CIVIC 1L,CIVIC
HONDA,GBD-HH5-ACTY,ACTY
HONDA,CITY GXI,CITY
HONDA,CIVIC EX,CIVIC
HONDA,INSIGHT SE CVT,INSIGHT
HONDA,CIVIC SR,CIVIC
HONDA,ACTY GDHH5,ACTY
HONDA,N BOX CUSTOM,N BOX
HONDA,FIT HYBRID DAA-GP 5,FIT
HONDA,DBA-JW5,S660
HONDA,INSIGHT OUT,INSIGHT
HONDA,JF1 N-BOX,N BOX
HONDA,FIT DAA-GP5,FIT
HONDA,N-WGN DBA-J111,N WGN
HONDA,CIVIC SE VTEC CVT,CIVIC
HONDA,N-WGN DBA-JH1,N WGN
HONDA,CIVIC SE,CIVIC
HONDA,N WAGON,N WGN
HONDA,DBA-JH2,N WGN
HONDA,CIVIC 1L TURBO EX,CIVIC
HONDA,CR-V,CRV
HONDA,DBA-JF1-N BOX,N BOX
HONDA,DAA-RUS VEZEL,VEZEL
HONDA,DBA-JF3,N BOX
HONDA,N-WGN G STY,N WGN
HONDA,NWGN CUSTOM,N WGN
HONDA,DAA-FR4 JADE,HRV
HONDA,DAA-GP32 FREED,FREED
HONDA,CIVIC-VJ,CIVIC
HONDA,CIVIC ES IMA HYBRID,CIVIC
HONDA,UE-HA6,ACTY
HONDA,DAA-GP7-SHUTTLE,SHUTTLE
HONDA,DBA-JF2,N BOX
HONDA,DAA-GP3 FREED,FREED
HONDA,E-EF2-CLOSED,CIVIC
HONDA,VEZEL HYBRID Z,VEZEL
HONDA,FIT AERIA DBA-GD8,FIT
HONDA,CR-VTI-L,CRV
HONDA,SHHFK,CIVIC
HONDA,CR-Z DAA-ZFI,CRZ
HONDA,CITY VEEC,CITY
HONDA,CITY VITEC,CITY
HONDA,CITY ABS4A,CITY
HONDA,FIT GP5 HYBRID EFI,FIT
HONDA,ACTY H/BODY TRUCK,ACTY
HONDA,ACTY,ACTY
HONDA,DBA-GD1,FIT
HONDA,HRV,HRV
HONDA,DBA-RM1 CRV,CRV
HONDA,CIVIC 1.6A,CIVIC
HONDA,CIVIC ES IMA,CIVIC
HONDA,DAA-GP2 FIT,FIT
HONDA,DBA-GE6,FIT
HONDA,DBA-GJ1,AIRWAVE
HONDA,DBA-JF1 N-BOX CUSTOM,N BOX
HONDA,DAA-ZE3 INSIGHT,INSIGHT
HONDA,DAA-GPS FREED,FREED
HONDA,CR-V VTEC TURBO,CRV
HONDA,CIVIC ED352KP,CIVIC
HONDA,CIVIC 1.6,CIVIC
HONDA,DAA-GP2 FIT HYBRID,FIT
HONDA,E-EG8 CIVIC,CIVIC
HONDA,DBA-RM4,CRV
HONDA,FIT ARIA/LA-GD8,FIT ARIA
HONDA,DBA-JF1 N-BOX SLASH,N BOX
HONDA,DBA-GD8 FIT ARIA,FIT ARIA
HONDA,INSIGHT ES-T CVT,INSIGHT
HONDA,DAA-RU3 VEZEL RS HYBRID,VEZEL
HONDA,CIVIC VTEC EX 1.0,CIVIC
HONDA,DAA-GB7,FREED
HONDA,CIVIC GF-EK9,CIVIC
HONDA,GRACE-DA-GM4,GRACE
HONDA,FIT ARIA,FIT ARIA
HONDA,CIVIC EXI 4A,CIVIC
HONDA,ZE2,INSIGHT
HONDA,DAA-RU VEZEL,VEZEL
HONDA,DAA-GP4 FIT,FIT
HONDA,DAA-GP3 HYBRID FREED,FREED
HONDA,CITY 1.5L CVT,CITY
HONDA,DBA-RW2 CRV,CRV
HONDA,CR-V RVS1-2,CRV
HONDA,GBD- HA6,ACTY
HONDA,DAA-FD3 CIVIC,CIVIC
HONDA,CR-V(DBA-RW2),CRV
HONDA,CIVIC SR VTEC,CIVIC
HONDA,DAA-GP1 FIT HYBRID,FIT
HONDA,FIT DAA-GP4,FIT
HONDA,CR-V VTE,CRV
HONDA,DBA-RW2 CRV EX-MASTERPIECE,CRV
HONDA,EBD-HH5,ACTY
HONDA,CIVIC ES,CIVIC
HONDA,DBA-GJ1 AIRWAVE,AIRWAVE
HONDA,DBA-JH1 N WGN CUSTOM,N WGN
HONDA,GP-RD1,FIT
HONDA,DX,CIVIC
HONDA,FIT-LAGD1,FIT
HONDA,DBA-FK7 CIVIC,CIVIC
HONDA,DBA-RW1,CRV
HONDA,CIVIC AUTO,CIVIC
HONDA,DBA-RW1 CR-V,CRV
HONDA,INSIGHT ES CVT,INSIGHT
HONDA,DBA-RM1,CRV
HONDA,HC CITY,CITY
HONDA,CITY 4A,CITY
HONDA,CRV-VTL3,CRV
HONDA,CIVIC LA-ES1,CIVIC
HONDA,DBA-JH2 N WGN,N WGN
HONDA,N WGN,N WGN
HONDA,DBA-JH1 N WAGON,N WGN
HONDA,CIVIC EX CUT,CIVIC
HONDA,DAA-GP5 FIT,FIT
HONDA,LA-ES1,CIVIC
HONDA,EBD-HA8,ACTY
HONDA,DBA-GD6 FIT,FIT
HONDA,DBA-JW5 S660,S660
HONDA,CIVIC EX 1.0 VTEC,CIVIC
HONDA,VEZEL (DAA-RU3)-HYBRID,VEZEL
HONDA,CR-V VTI-LX,CRV
HONDA,DAA-RUS,VEZEL
HONDA,CR V VTEC,CRV
HONDA,CIVIC EH 957-KQ,CIVIC
HONDA,DBA-RE4,CRV
HONDA,CITY 1.5L A,CITY
HONDA,CRV A SPORTS,CRV
HONDA,CRV 2.0A,CRV
HONDA,CTV-VTI-L,CRV
HONDA,DAA -GP5 -FIT HYBRID,FIT
HONDA,HRV WAGON,HRV
HONDA,DBA-FD1,CIVIC
HONDA,GF-GH3 JEEP,HRV
HONDA,CRV2.0A,CRV
HONDA,6AA-ZE4 EX INSIGHT,INSIGHT
HONDA,CIVIC VTEC CVT,CIVIC
HONDA,CIVIC-SEDAN,CIVIC
HONDA,CIVIC EK3-AUTO,CIVIC
HONDA,CIVIC EK3-MANNUAL,CIVIC
HONDA,CIVIC EX VTEC,CIVIC
HONDA,CIVIC ES1-AUTO,CIVIC
HONDA,CIVIC ES8-AUTO,CIVIC
HONDA,GRACE-DAA-GM4,GRACE
HONDA,CITY VTEC,CITY
HONDA,CITY VTEC M,CITY
HONDA,DA-RU3-VEZEL,VEZEL
HONDA,CIVIC ES8-MANNUAL,CIVIC
HONDA,CITY G41,CITY
HONDA,CIVIC FB1,CIVIC
HONDA,CIVIC V11 4A,CIVIC
HONDA,CITYVTEC A,CITY
HONDA,GAA-GP7-SHUTTLE,SHUTTLE
HONDA,CR.V RVSI-2,CRV
HONDA,CRV-VTI-S,CRV
HONDA,DAA-RU3 VEZEL HYBRID,VEZEL
HONDA,CIVIC FD1-AUTO,CIVIC
HONDA,CIVIC FD1-MANNUAL,CIVIC
HONDA,CIVIC FD3-JAPAN,CIVIC
HONDA,CIVIC FD4-AUTO,CIVIC
HONDA,CIVIC FD4-MANNUAL,CIVIC
HONDA,CIVIC SE-HATCHBACK,CIVIC
HONDA,CIVIC EG8,CIVIC
HONDA,CIVIC ES1-MANNUAL,CIVIC
HONDA,CIVIC FD3-UK,CIVIC
HONDA,CIVIC SR-HATCHBACK,CIVIC
HONDA,CIVIC EG8,CIVIC
HONDA,CIVIC EX-HATCHBACK,CIVIC
HONDA,CRV-WAGON,CRV
HONDA,DAA-RU4 VEZEL,VEZEL
HONDA,CIVIC RS,CIVIC
HONDA,ACCORD CL7,ACCORD
HONDA,CIVIC  EX,CIVIC
HONDA,VEZEL RU3 ORANGE PACKAGE,VEZEL
HONDA,DBA-JH1 N WGN CUSTON,N WGN
HONDA,DAA-GP7 FIT SHUTTLE,SHUTTLE
HONDA,DBA-RW1 CR-V EX,CRV
HONDA,DBA-JW5 S660 SPORT,S660
HONDA,6AA-ZE4,INSIGHT
HONDA,HONDA,CRV
HONDA,ORAND CIVIC,CIVIC
HONDA,CIVIC-EG8,CIVIC
HONDA,SPIKE,FREED
HONDA,DAA-ZE2 HYBRID INSIGHT,INSIGHT
HONDA,DAA-ZE2 HYBRID,INSIGHT
HONDA,DBA-GD6,FIT ARIA
HONDA,UA-GD1,FIT
HONDA,DAA-DM4-GRACE,GRACE
HONDA,VEZEL RU3,VEZEL
HONDA,CITY-V,CITY
HONDA,DA-GP5 FIT,FIT
HONDA,DBA-RW1 CRV,CRV
HONDA,DBA-GE6 FIT,FIT
HONDA,INSIGHT DAA-ZE2,INSIGHT
HONDA,DAA-ZF2 CR-Z,CRZ
HONDA,CIVIC BRAND NEW,CIVIC
HONDA,DAA-GPI FIT HYBRID,FIT
HONDA,CRV,CRV
HONDA,DBA-JF3 N-BOX CUSTOM,N BOX
HONDA,E-EF2-CIVIC,CIVIC
HONDA,CBA-RD7 CR-V,CRV
HONDA,CIVIC 1.0 CVT,CIVIC
HONDA,DAA-GPI FIT,FIT
HONDA,CR-V 2.0L,CRV
HONDA,LEB-H1 3056183 FIT,FIT
HONDA,DAA-RU2 VEZEL,VEZEL
HONDA,CIVIC-99,CIVIC
HONDA,DBA-GD9 FIT,FIT
HONDA,CIVIC EXT,CIVIC
HONDA,CIVIC 1.0EX,CIVIC
HONDA,CIVIC FERIO UA-ES1,CIVIC
HONDA,CIVIC FK6,CIVIC
HONDA,ED 325MP,CIVIC
HONDA,CIVIC C9,CIVIC
HONDA,CIVIC BRAND NEW,CIVIC
HONDA,VEZEL HYBRID DAA-RU3,VEZEL
HONDA,FIT 1.3A,FIT
HONDA,ACCORD,ACCORD
HONDA,VEZEL HYBRID Z DAA-RU3,VEZEL
HONDA,ED 352 MP,CIVIC
HONDA,CIVIC ED,CIVIC
HONDA,DAA-RU3 VEZEL,VEZEL
HONDA,N BOX,N BOX
HONDA,CITY 1.5L 5MT,CITY
HONDA,DAA-MH55S CIVIC,CIVIC
HONDA,E-RD1,CRV
HONDA,DBA-JH1N WGN,N WGN
HONDA,FIT GD1,FIT
HYUNDAI,SANTA FE A,SANTA FE
HYUNDAI,ACCENT,ACCENT
HYUNDAI,SONATA,SONATA
HYUNDAI,MATRIX,MATRIX
HYUNDAI,TRAJET,TRAJET
HYUNDAI,SANTRO,SANTRO
HYUNDAI,ELANTRA,ELANTRA
HYUNDAI,TUCSON,TUCSON
HYUNDAI,ACCENT GL M,ACCENT
HYUNDAI,ACCENT-GVS,ACCENT
HYUNDAI,ACCENT-GLS,ACCENT
HYUNDAI,EON-Magna,EON
HYUNDAI,STELLAR,STELLAR
HYUNDAI,ACCENT GLA,ACCENT
HYUNDAI,EXCEL 1.5LS,EXCEL
HYUNDAI,SONATA A,SONATA
HYUNDAI,SANTA FE (JEEP),SANTA FE
HYUNDAI,VENUE,VENUE
HYUNDAI,EF - SONATA,SONATA
HYUNDAI,SONATA 1.8 GL,SONATA
HYUNDAI,EXCEL 1.5 GLS,EXCEL
HYUNDAI,MATRIX GLS A,MATRIX
HYUNDAI,SONATA GLS,SONATA
HYUNDAI,MATRIX GLS M,MATRIX
HYUNDAI,TRAJET GLS A,TRAJET
HYUNDAI,EF - SONATA A,SONATA
HYUNDAI,ACCENT GLS M,ACCENT
HYUNDAI,VENUE TURBO,VENUE
HYUNDAI,ACCENT GLS A,ACCENT
HYUNDAI,ACCENT 1.5 GLS,ACCENT
HYUNDAI,ACCENT GL,ACCENT
HYUNDAI,EON,EON
HYUNDAI,TUCSON2.0A,TUCSON
KIA,KIA SPORTAGE,SPORTAGE
KIA,RIO,RIO
KIA,PICANTO,PICANTO
KIA,OPTIMA,OPTIMA
KIA,SORENTO,SORENTO
KIA,SEPHIA,SEPHIA
KIA,SORENTO 4X4 JEEP,SORENTO
KIA,CARENS,CARENS
KIA,CARNIVAL,CARNIVAL
KIA,STONIC 4 ISG S-A,STONIC
KIA,RIO 1.5A,RIO
KIA,RIO 1.5LS,RIO
KIA,SEPHIA-GTX,SEPHIA
KIA,SPORTAGE 4X2,SPORTAGE
KIA,RIO 1.3M,RIO
KIA,SPORTAGE JEEP,SPORTAGE
KIA,SPORTAGE GRAND,SPORTAGE
KIA,RIO 1.5M,RIO
KIA,SEPHIA II,SEPHIA
KIA,RIO 1.5LS A,RIO
KIA,RIO 1.5,RIO
KIA,SPORTAGE 4X4,SPORTAGE
KIA,SORENTO JEEP,SORENTO
KIA,RIO 1.5LSM,RIO
KIA,RIO 1.3 LSNB M/T,RIO
KIA,SORENTO 4X4,SORENTO
KIA,RIO 1.5M H/B,RIO
KIA,CARENS 1.8A,CARENS
KIA,SEPHIAI S M,SEPHIA
KIA,RIO 1.5A H/B,RIO
KIA,SEPHIA 1.5 A,SEPHIA
KIA,SPORTAGE 4X4 JEEP,SPORTAGE
KIA,RIO 1.3RS M,RIO
KIA,SPORTAGE,SPORTAGE
KIA,STONIC,STONIC
KIA,SEPHIA 1.5M,SEPHIA
KIA,RIO 105M,RIO
KIA,PICANTO 1.1A,PICANTO
KIA,GRAND CARNIVAL,CARNIVAL
KIA,SORENTO 4 4 JEEP,SORENTO
MAHINDRA,KUV 100 K6 PLUS,KUV 100
MAHINDRA,KUV 100nxt,KUV 100
MAHINDRA,KUV 100 NXT K6,KUV 100
MAHINDRA,KUV 100 NXT,KUV 100
MAHINDRA,KUV 100 NXT K6 (SE TWOTONE,KUV 100
MAZDA,MAZDA 323,2
MAZDA,MAZDA FAMILIA,FAMILIA
MAZDA,FAMILIA WAGON,FAMILIA
MAZDA,BONGO SK82,2
MAZDA,BONGO SK28,2
MAZDA,KBSS28V,2
MAZDA,AXELA,AXELA
MAZDA,KC-SS28H,2
MAZDA,GF-BJ3P,3
MAZDA,DBA-DE3FS,3
MAZDA,KR-SYF6T,6
MAZDA,TC-SK82V,2
MAZDA,SD29T,2
MAZDA,SK22T,2
MAZDA,323 GLX,2
MAZDA,KG-SK56V,6
MAZDA,GC-SK82V-BONGO,2
MAZDA,KR-SKF6M,6
MAZDA,BHALP21,2
MAZDA,KG-SY56T,6
MAZDA,GD-DG52V,2
MAZDA,E-BG3P,3
MAZDA,LE-DG62V,2
MAZDA,FAMILIA E BG3P,3
MAZDA,TC-SK82TN,2
MAZDA,KF-SK22T,2
MAZDA,ADF-SFK2V,2
MAZDA,G26,2
MAZDA,SS28V,2
MAZDA,KR-SKF6V,6
MAZDA,3,3
MAZDA,KQ-SKF2V,2
MAZDA,FAMILIA EBG55,FAMILIA
MAZDA,E2200GLASSPANEL,2
MAZDA,DBA-BK5P AXELA,AXELA
MAZDA,KK-WH35T TRUCK,3
MAZDA,U SR29V,2
MAZDA,KQ-SKF2T,2
MAZDA,ABF-SK82V BONGO,2
MAZDA,LA-DW3W,3
MAZDA,KC-SR24V,2
MAZDA,DEMIO,DEMIO
MAZDA,ABASE3P,3
MAZDA,FAMILIA,FAMILIA
MAZDA,KG-SK22L,2
MAZDA,323L,2
MAZDA,SR29V,2
MAZDA,KK-WG67T-HALF BODY,6
MAZDA,323LX,2
MAZDA,EBD-DG64V,6
MAZDA,KR-SKF2T,2
MAZDA,KB-SS28M,2
MAZDA,EBD-DG63T,3
MAZDA,V-SR29V,2
MAZDA,GE-SK6EV,6
MAZDA,KG-SK56L,6
MAZDA,FAMILIA BG5P,FAMILIA
MAZDA,323 4DR 5M,2
MAZDA,ABF-SKP2M,2
MAZDA,323SA,2
MAZDA,LA-HB23S CAROL,2
MAZDA,KR-SKF2L,2
MAZDA,ABF-SKP2V BONGO,2
MAZDA,MAZDA 6,6
MAZDA,BKR-SKF2V,2
MAZDA,KB-SE28T,2
MAZDA,SR2AV-BROWNY,2
MAZDA,LA-HB23S ALTO,2
MAZDA,SS218MF,2
MAZDA,BF3V.CLOSED,3
MAZDA,DEMIO- DBA-DE3FS,3
MAZDA,MAZDA 2,2
MAZDA,MODEL-CREW CAB-KC SD29M,2
MAZDA,EBD-DG63T SCRUM,3
MAZDA,DAA-MM42S,2
MAZDA,KK-WG64H,6
MAZDA,LE-DG63T,3
MAZDA,LA-DY3W,3
MAZDA,SRY021,2
MAZDA,KK-WH69G,6
MAZDA,SR2AM,2
MAZDA,DB3PA,3
MAZDA,626 4DR 5A,2
MAZDA,ADF-SK82V,2
MAZDA,ADF-SKF2V,2
MAZDA,ADF-SKF6V,6
MAZDA,KG-SK22V,2
MAZDA,TC-SKE6V,6
MAZDA,EDB-DG64V,6
MAZDA,SS28M,2
MAZDA,SSR28V,2
MAZDA,KK-WHF3F,3
MAZDA,GD-DH52T,2
MAZDA,KK WH6HH,6
MAZDA,FLAIR HYBRID,FLAIR
MAZDA,BF3P,3
MAZDA,BG3P-CLOSED,3
MAZDA,LE-DG62T,2
MAZDA,DAA-MJ55S FLAIR,FLAIR
MAZDA,ABF-SKP2T BONGO,2
MAZDA,KJ-SK22V,2
MAZDA,GD-DH52V,2
MAZDA,KF-SK22V,2
